seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
967,81000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
979,82000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
991,83000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1003,84000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1015,85000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1027,86000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1039,87000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1051,88000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1063,89000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1075,90000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1087,91000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1099,92000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1111,93000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1123,94000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1135,95000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1147,96000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1159,97000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1171,98000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1183,99000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1195,100000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1207,101000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1219,102000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1231,103000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1243,104000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1255,105000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1267,106000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1279,107000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1291,108000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1303,109000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1315,110000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1327,111000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1339,112000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1351,113000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1363,114000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1375,115000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1387,116000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1399,117000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1411,118000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1423,119000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1435,120000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1447,121000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1459,122000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
